Date,Close,Open,High,Low,Change %
2015-01-29,12567.5,12502.5,12567.5,12502.5,0.65
2015-01-30,12667.5,12592.5,12667.5,12582.5,0.8
2015-02-02,12685.0,12683.0,12718.0,12680.0,0.14
2015-02-03,12654.0,12674.0,12674.0,12609.0,-0.24
2015-02-04,12625.0,12605.0,12640.0,12585.0,-0.23
2015-02-05,12632.5,12631.5,12660.5,12627.5,0.06
2015-02-06,12614.5,12633.5,12633.5,12603.5,-0.14
2015-02-09,12647.5,12632.5,12692.5,12632.5,0.26
2015-02-10,12672.5,12652.5,12672.5,12637.5,0.2
2015-02-11,12715.0,12680.0,12720.0,12680.0,0.34
2015-02-12,12792.5,12752.5,12837.5,12752.5,0.61
2015-02-13,12787.5,12737.5,12787.5,12737.5,-0.04
2015-02-16,12752.5,12752.5,12767.5,12732.5,-0.27
2015-02-17,12769.5,12741.5,12771.5,12740.5,0.13
2015-02-18,12842.5,12787.5,12847.5,12787.5,0.57
2015-02-19,12842.5,12842.5,12842.5,12842.5,0.0
2015-02-20,12812.5,12852.5,12867.5,12802.5,-0.23
2015-02-23,12834.5,12812.5,12835.5,12802.5,0.17
2015-02-24,12897.5,12842.5,12899.5,12802.5,0.49
2015-02-25,12873.5,12851.5,12891.5,12851.5,-0.19
2015-02-26,12837.5,12842.5,12869.5,12827.5,-0.28
2015-02-27,12925.0,12835.0,12945.0,12835.0,0.68
2015-03-02,12970.0,12955.0,13000.0,12950.0,0.35
2015-03-03,12965.0,12945.0,12982.0,12945.0,-0.04
2015-03-04,12982.5,12957.5,12982.5,12942.5,0.13
2015-03-05,12990.0,12990.0,13030.0,12979.0,0.06
2015-03-06,12980.0,13000.0,13005.0,12950.0,-0.08
2015-03-09,13050.0,13005.0,13075.0,13005.0,0.54
2015-03-10,13091.5,13053.5,13093.5,13047.5,0.32
2015-03-11,13190.5,13139.5,13244.5,13124.5,0.76
2015-03-12,13182.5,13147.5,13217.5,13147.5,-0.06
2015-03-13,13195.0,13155.0,13205.0,13150.0,0.09
2015-03-16,13242.0,13203.0,13247.0,13203.0,0.36
2015-03-17,13167.5,13222.5,13247.5,13162.5,-0.56
2015-03-18,13170.0,13160.0,13190.0,13150.0,0.02
2015-03-19,13035.0,13115.0,13115.0,12984.0,-1.03
