Date,Open,High,Low,Close
06/26/2026,"101.50","101.57","101.05","101.36"
06/25/2026,"101.60","101.75","101.31","101.43"
06/24/2026,"101.37","101.80","101.36","101.61"
06/23/2026,"101.01","101.43","100.95","101.41"
06/22/2026,"100.88","101.08","100.76","101.02"
06/19/2026,"100.34","100.92","100.21","100.85"
06/18/2026,"100.34","100.92","100.21","100.85"
06/17/2026,"99.52","100.57","99.49","100.09"
06/16/2026,"99.64","99.79","99.46","99.54"
06/15/2026,"99.54","99.71","99.38","99.63"
06/12/2026,"99.67","99.91","99.64","99.75"
06/11/2026,"100.12","100.31","99.59","99.86"
06/10/2026,"100.01","100.09","99.72","99.95"
06/09/2026,"100.03","100.08","99.68","99.91"
06/08/2026,"100.15","100.21","99.82","100.05"
06/05/2026,"99.43","100.11","99.16","100.07"
06/04/2026,"99.46","99.53","99.18","99.41"
06/03/2026,"99.29","99.55","99.19","99.53"
06/02/2026,"99.17","99.33","99.05","99.22"
06/01/2026,"98.96","99.39","98.92","99.20"
05/29/2026,"99.00","99.19","98.75","98.91"
05/28/2026,"99.27","99.54","98.95","99.02"
05/27/2026,"99.08","99.26","98.97","99.21"
