"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"29/06/2026","4.028,40","4.076,80","4.090,20","4.014,75","102,29K","-1,19%"
"28/06/2026","4.077,00","4.101,10","4.101,10","4.065,95","","-0,47%"
"26/06/2026","4.096,30","4.044,40","4.111,50","3.998,10","118,97K","1,20%"
"25/06/2026","4.047,60","4.019,00","4.060,00","3.976,30","147,35K","0,97%"
"24/06/2026","4.008,80","4.130,00","4.132,40","3.975,70","189,39K","-3,39%"
"23/06/2026","4.149,40","4.210,80","4.216,00","4.108,20","118,50K","-1,27%"
"22/06/2026","4.202,70","4.231,20","4.238,10","4.138,70","177,66K","0,71%"
"19/06/2026","4.172,90","4.207,47","4.216,90","4.139,20","73,11K","-1,72%"
"18/06/2026","4.245,90","4.275,10","4.350,20","4.220,30","139,53K","-3,09%"
"17/06/2026","4.381,40","4.352,60","4.403,60","4.237,40","160,54K","0,62%"
"16/06/2026","4.354,40","4.331,30","4.376,50","4.326,70","89,93K","0,06%"
"15/06/2026","4.351,60","4.289,40","4.391,50","4.283,40","132,14K","2,66%"
"12/06/2026","4.238,80","4.234,90","4.267,80","4.191,10","136,15K","3,03%"
"11/06/2026","4.114,00","4.094,40","4.241,30","4.046,20","206,27K","-0,47%"
"10/06/2026","4.133,30","4.276,10","4.281,10","4.090,10","206,03K","-3,57%"
"09/06/2026","4.286,40","4.354,70","4.388,60","4.259,90","138,10K","-1,76%"
"08/06/2026","4.363,40","4.354,00","4.377,50","4.293,00","144,09K","-0,04%"
"05/06/2026","4.365,30","4.503,00","4.508,70","4.336,60","179,31K","-3,10%"
"04/06/2026","4.505,00","4.462,60","4.543,20","4.450,10","109,64K","0,85%"
"03/06/2026","4.466,90","4.520,00","4.525,10","4.454,00","106,69K","-1,17%"
"02/06/2026","4.519,90","4.515,80","4.571,30","4.492,30","100,31K","0,30%"
"01/06/2026","4.506,30","4.575,20","4.577,30","4.476,00","116,79K","-1,89%"
"29/05/2026","4.593,00","4.527,60","4.627,10","4.519,50","133,44K","1,34%"
