Date,Price,Open,High,Low,Vol.,Change %
06/29/2026,"17,850.7","17,856.7","17,910.0","17,814.0",,-0.20%
06/28/2026,"17,885.9","17,856.7","17,910.0","17,837.0",,-0.13%
06/26/2026,"17,910.0","17,965.0","17,987.5","17,910.0",,-0.06%
06/25/2026,"17,920.0","17,960.0","17,972.5","17,917.5",,-0.06%
06/24/2026,"17,930.0","17,920.0","17,960.0","17,917.5",,0.50%
06/23/2026,"17,840.0","17,865.0","17,875.0","17,840.0",,0.06%
06/22/2026,"17,830.0","17,805.0","17,836.5","17,777.5",,0.25%
06/21/2026,"17,785.4","17,765.8","17,810.0","17,780.0",,0.03%
06/19/2026,"17,780.0","17,840.0","17,855.0","17,780.0",,0.42%
06/18/2026,"17,705.0","17,850.0","17,881.0","17,705.0",,-0.17%
06/17/2026,"17,735.0","17,742.5","17,762.5","17,727.5",,0.23%
06/16/2026,"17,694.5","17,694.5","17,694.5","17,694.5",,0.00%
06/15/2026,"17,694.5","17,765.0","17,780.0","17,675.0",,-0.98%
06/12/2026,"17,870.0","17,925.0","17,965.5","17,850.0",,-0.61%
06/11/2026,"17,980.0","17,930.0","18,001.5","17,930.0",,0.15%
06/10/2026,"17,952.5","17,882.5","18,005.0","17,882.5",,-0.57%
06/09/2026,"18,055.0","18,155.0","18,190.0","18,032.5",,-0.66%
06/08/2026,"18,175.0","18,090.0","18,197.5","18,080.0",,0.89%
06/05/2026,"18,015.0","18,065.0","18,065.0","18,007.5",,-0.06%
06/04/2026,"18,025.0","17,980.0","18,050.0","17,980.0",,0.45%
06/03/2026,"17,945.0","17,877.5","17,960.0","17,875.0",,0.62%
06/02/2026,"17,835.0","17,865.0","17,894.5","17,822.5",,-0.20%
06/01/2026,"17,870.0","17,870.0","17,870.0","17,870.0",,0.00%
05/29/2026,"17,870.0","17,820.0","17,892.0","17,820.0",,0.51%
05/28/2026,"17,780.0","17,780.0","17,780.0","17,780.0",,0.00%
05/27/2026,"17,780.0","17,780.0","17,780.0","17,780.0",,0.00%
05/26/2026,"17,780.0","17,740.0","17,800.0","17,740.0",,0.25%
05/25/2026,"17,735.0","17,705.0","17,755.0","17,700.0",,0.23%
05/22/2026,"17,695.0","17,680.0","17,727.5","17,677.5",,0.28%
05/21/2026,"17,645.0","17,640.0","17,727.5","17,625.0",,0.23%
05/20/2026,"17,605.0","17,755.0","17,762.5","17,605.0",,-0.54%
05/19/2026,"17,700.0","17,675.0","17,735.0","17,670.0",,0.31%
05/18/2026,"17,645.0","17,640.0","17,672.5","17,595.0",,1.03%
05/15/2026,"17,465.0","17,465.0","17,465.0","17,465.0",,0.00%
05/14/2026,"17,465.0","17,465.0","17,465.0","17,465.0",,0.00%
05/13/2026,"17,465.0","17,510.0","17,537.5","17,445.0",,-0.17%
05/12/2026,"17,494.5","17,485.0","17,529.0","17,480.0",,0.49%
05/11/2026,"17,410.0","17,382.5","17,424.0","17,382.5",,0.26%
05/08/2026,"17,365.0","17,350.0","17,391.5","17,347.5",,0.17%
05/07/2026,"17,335.0","17,320.0","17,378.5","17,320.0",,-0.29%
05/06/2026,"17,385.0","17,375.0","17,420.0","17,361.0",,-0.17%
05/05/2026,"17,415.0","17,390.0","17,447.5","17,390.0",,0.26%
05/04/2026,"17,370.0","17,325.0","17,390.0","17,325.0",,0.35%
05/01/2026,"17,310.0","17,310.0","17,310.0","17,310.0",,0.00%
04/30/2026,"17,310.0","17,350.0","17,387.5","17,307.5",,0.17%
04/29/2026,"17,280.0","17,277.5","17,337.5","17,267.5",,0.38%
04/28/2026,"17,215.0","17,212.5","17,249.0","17,202.5",,0.15%
04/27/2026,"17,190.0","17,210.0","17,237.5","17,187.5",,-0.01%
04/24/2026,"17,192.5","17,275.0","17,294.0","17,192.5",,-0.54%
04/23/2026,"17,285.0","17,225.0","17,322.5","17,225.0",,0.64%
04/22/2026,"17,175.0","17,155.0","17,187.5","17,147.5",,0.18%
04/21/2026,"17,144.0","17,145.0","17,155.5","17,117.5",,-0.15%
04/20/2026,"17,170.0","17,160.0","17,187.5","17,140.0",,-0.09%
04/17/2026,"17,185.0","17,155.0","17,195.0","17,152.5",,0.32%
04/16/2026,"17,130.0","17,137.5","17,155.0","17,113.5",,-0.03%
04/15/2026,"17,135.0","17,117.5","17,147.5","17,110.0",,0.12%
04/14/2026,"17,115.0","17,125.0","17,144.0","17,115.0",,0.09%
04/13/2026,"17,100.0","17,125.0","17,142.5","17,100.0",,0.06%
04/10/2026,"17,090.0","17,080.0","17,122.5","17,076.5",,0.03%
04/09/2026,"17,085.0","17,040.0","17,100.0","17,027.5",,0.44%
04/08/2026,"17,010.0","16,985.0","17,025.5","16,980.0",,-0.49%
04/07/2026,"17,094.5","17,052.5","17,107.5","17,052.5",,0.35%
04/06/2026,"17,035.0","17,000.0","17,047.5","16,992.5",,0.24%
04/03/2026,"16,994.5","16,994.5","16,994.5","16,994.5",,0.00%
04/02/2026,"16,994.5","16,990.0","17,027.5","16,980.0",,0.09%
04/01/2026,"16,980.0","16,992.0","17,031.0","16,957.5",,-0.09%
03/31/2026,"16,994.5","16,985.0","16,999.0","16,985.0",,0.03%
03/30/2026,"16,990.0","16,985.0","16,996.5","16,977.5",,0.15%
03/27/2026,"16,965.0","16,922.5","16,974.0","16,922.5",,0.38%
03/26/2026,"16,900.0","16,885.0","16,907.5","16,880.0",,-0.06%
03/25/2026,"16,910.0","16,915.0","16,925.0","16,870.0",,-0.41%
03/24/2026,"16,980.0","16,980.0","16,980.0","16,980.0",,0.00%
03/23/2026,"16,980.0","16,980.0","16,980.0","16,980.0",,0.00%
03/20/2026,"16,980.0","16,980.0","16,980.0","16,980.0",,0.00%
03/19/2026,"16,980.0","16,980.0","16,980.0","16,980.0",,0.00%
03/18/2026,"16,980.0","16,980.0","16,980.0","16,980.0",,0.00%
03/17/2026,"16,980.0","16,977.5","16,992.5","16,960.0",,-0.06%
03/16/2026,"16,990.0","16,950.0","16,997.5","16,950.0",,0.30%
03/13/2026,"16,940.0","16,907.5","16,946.0","16,897.5",,0.30%
03/12/2026,"16,890.0","16,900.0","16,909.0","16,878.0",,0.12%
03/11/2026,"16,870.0","16,840.0","16,872.5","16,835.0",,0.07%
03/10/2026,"16,857.5","16,865.0","16,895.0","16,842.5",,-0.49%
03/09/2026,"16,940.0","16,990.0","16,995.0","16,937.5",,0.21%
03/06/2026,"16,905.0","16,917.5","16,932.5","16,902.5",,0.15%
03/05/2026,"16,880.0","16,902.5","16,907.5","16,855.0",,-0.03%
03/04/2026,"16,885.0","16,920.0","16,932.5","16,885.0",,0.18%
03/03/2026,"16,855.0","16,860.0","16,885.0","16,844.0",,-0.03%
03/02/2026,"16,860.0","16,822.5","16,867.5","16,814.5",,0.57%
02/27/2026,"16,765.0","16,767.5","16,788.5","16,761.5",,0.06%
02/26/2026,"16,755.0","16,757.5","16,781.0","16,732.5",,-0.18%
02/25/2026,"16,785.0","16,840.0","16,852.5","16,784.0",,-0.21%
02/24/2026,"16,820.0","16,820.0","16,839.5","16,812.5",,0.18%
02/23/2026,"16,790.0","16,865.0","16,865.0","16,790.0",,-0.44%
02/20/2026,"16,865.0","16,882.5","16,946.0","16,855.0",,-0.06%
02/19/2026,"16,875.0","16,890.0","16,936.5","16,875.0",,-0.03%
02/18/2026,"16,880.0","16,845.0","16,893.5","16,837.5",,0.30%
02/17/2026,"16,830.0","16,830.0","16,830.0","16,830.0",,0.00%
02/16/2026,"16,830.0","16,830.0","16,830.0","16,830.0",,0.00%
02/13/2026,"16,830.0","16,820.0","16,855.0","16,817.5",,0.09%
02/12/2026,"16,815.0","16,800.0","16,832.5","16,800.0",,0.21%
02/11/2026,"16,780.0","16,775.0","16,794.0","16,759.0",,-0.09%
02/10/2026,"16,795.0","16,795.0","16,852.5","16,773.0",,-0.03%
02/09/2026,"16,800.0","16,865.0","16,872.5","16,799.0",,-0.39%
02/06/2026,"16,865.0","16,872.5","16,894.0","16,860.0",,0.21%
02/05/2026,"16,830.0","16,785.0","16,834.0","16,782.5",,0.36%
02/04/2026,"16,770.0","16,765.0","16,777.5","16,757.5",,0.06%
02/03/2026,"16,760.0","16,760.0","16,786.5","16,757.5",,-0.18%
02/02/2026,"16,790.0","16,790.0","16,812.5","16,763.5",,0.03%
01/30/2026,"16,785.0","16,795.0","16,815.0","16,777.5",,0.22%
01/29/2026,"16,747.5","16,750.0","16,805.0","16,745.0",,0.25%
01/28/2026,"16,705.0","16,720.0","16,745.0","16,680.0",,-0.36%
01/27/2026,"16,765.0","16,777.5","16,812.5","16,765.0",,-0.06%
01/26/2026,"16,775.0","16,795.0","16,802.5","16,755.0",,-0.24%
01/23/2026,"16,815.0","16,825.0","16,849.0","16,810.0",,-0.41%
01/22/2026,"16,885.0","16,925.0","16,935.0","16,796.5",,-0.30%
01/21/2026,"16,935.0","16,945.0","16,971.0","16,930.0",,-0.09%
01/20/2026,"16,950.0","16,970.0","16,987.5","16,947.5",,0.06%
01/19/2026,"16,940.0","16,875.0","16,952.5","16,875.0",,0.33%
01/16/2026,"16,885.0","16,885.0","16,885.0","16,885.0",,0.00%
01/15/2026,"16,885.0","16,835.0","16,894.5","16,830.0",,0.15%
01/14/2026,"16,860.0","16,865.0","16,876.0","16,856.5",,-0.03%
01/13/2026,"16,865.0","16,845.0","16,881.5","16,845.0",,0.21%
01/12/2026,"16,830.0","16,837.5","16,858.5","16,830.0",,0.18%
01/09/2026,"16,800.0","16,830.0","16,846.5","16,800.0",,0.06%
01/08/2026,"16,790.0","16,787.5","16,805.0","16,785.0",,0.09%
01/07/2026,"16,775.0","16,760.0","16,790.5","16,755.0",,0.15%
01/06/2026,"16,750.0","16,745.0","16,769.0","16,730.0",,0.06%
01/05/2026,"16,740.0","16,715.0","16,762.5","16,712.5",,0.12%
01/02/2026,"16,720.0","16,695.0","16,734.0","16,690.0",,0.27%
01/01/2026,"16,675.0","16,675.0","16,675.0","16,675.0",,0.00%
12/31/2025,"16,675.0","16,715.0","16,742.5","16,675.0",,-0.51%
12/30/2025,"16,760.0","16,780.0","16,789.0","16,760.0",,-0.15%
12/29/2025,"16,785.0","16,760.0","16,795.0","16,757.5",,0.18%
12/26/2025,"16,755.0","16,755.0","16,755.0","16,755.0",,0.00%
12/25/2025,"16,755.0","16,755.0","16,755.0","16,755.0",,0.00%
12/24/2025,"16,755.0","16,770.0","16,782.5","16,749.0",,-0.09%
12/23/2025,"16,770.0","16,755.0","16,800.0","16,745.0",,0.00%
12/22/2025,"16,770.0","16,737.5","16,785.0","16,737.5",,0.18%
12/19/2025,"16,740.0","16,715.0","16,750.0","16,706.5",,0.15%
12/18/2025,"16,715.0","16,702.5","16,732.5","16,695.0",,0.18%
12/17/2025,"16,685.0","16,675.0","16,710.0","16,665.0",,-0.03%
12/16/2025,"16,690.0","16,672.5","16,695.0","16,670.0",,0.15%
12/15/2025,"16,665.0","16,640.0","16,673.5","16,640.0",,0.15%
12/12/2025,"16,640.0","16,647.5","16,675.0","16,627.5",,-0.18%
12/11/2025,"16,670.0","16,655.0","16,682.5","16,639.0",,-0.09%
12/10/2025,"16,685.0","16,685.0","16,696.5","16,676.0",,0.12%
12/09/2025,"16,665.0","16,690.0","16,697.5","16,659.5",,-0.15%
12/08/2025,"16,690.0","16,660.0","16,696.5","16,650.0",,0.30%
12/05/2025,"16,640.0","16,655.0","16,667.5","16,640.0",,-0.03%
12/04/2025,"16,645.0","16,630.0","16,655.5","16,626.5",,0.15%
12/03/2025,"16,620.0","16,625.0","16,637.5","16,617.5",,0.00%
12/02/2025,"16,620.0","16,632.5","16,647.5","16,615.0",,-0.21%
12/01/2025,"16,655.0","16,660.0","16,675.0","16,650.0",,0.00%
11/28/2025,"16,655.0","16,637.5","16,670.0","16,632.5",,0.09%
11/27/2025,"16,640.0","16,630.0","16,652.5","16,620.0",,-0.12%
11/26/2025,"16,660.0","16,647.5","16,682.5","16,640.0",,0.00%
11/25/2025,"16,660.0","16,670.0","16,688.5","16,655.0",,-0.19%
11/24/2025,"16,692.5","16,710.0","16,720.0","16,692.5",,-0.01%
11/21/2025,"16,694.0","16,740.0","16,741.0","16,694.0",,-0.22%
11/20/2025,"16,730.0","16,740.0","16,755.0","16,725.0",,0.22%
11/19/2025,"16,692.5","16,740.0","16,757.5","16,687.5",,-0.28%
11/18/2025,"16,740.0","16,740.0","16,765.0","16,732.5",,0.09%
11/17/2025,"16,725.0","16,712.5","16,738.0","16,710.0",,0.19%
11/14/2025,"16,694.0","16,705.0","16,717.5","16,694.0",,-0.19%
11/13/2025,"16,725.0","16,725.0","16,738.5","16,717.5",,0.17%
11/12/2025,"16,697.0","16,700.0","16,727.5","16,684.5",,0.07%
11/11/2025,"16,685.0","16,705.0","16,712.5","16,682.5",,0.21%
11/10/2025,"16,650.0","16,670.0","16,682.5","16,645.0",,-0.21%
