feature,importance
sp500_return,0.08026974
dxy_return,0.055649526
std_7,0.04397625
return_std_30,0.042318683
vix_return,0.0413188
oil_return,0.041267462
return_lag_3,0.039944004
macd_signal,0.038481414
return_lag_1,0.036965694
return_std_14,0.034954168
return_ma_7,0.034838222
std_30,0.03450347
gold_return,0.03130017
day_of_month,0.030495381
std_14,0.030482737
return_ma_14,0.027776327
corr_gold_30,0.026880333
us10y_return,0.026531952
return_lag_2,0.025938986
return_lag_14,0.024854304
corr_dxy_30,0.02454213
macd,0.024137504
rsi_14,0.023543693
week_of_year,0.02291505
ihsg_return,0.022817165
return_std_7,0.0226524
return_ma_30,0.019612826
day_of_week,0.01899771
is_month_end,0.018614706
month,0.018276535
return_lag_7,0.01761867
is_month_start,0.017524024
quarter,0.0
